CCAA,PROVINCIA,UTM,ID_ESP,ID_ESP_EUR,ESP_LAT,ESP_CAS,ID_Reproduccion,Cat_Reproducción,CLASIFICACION
Comunidad Valenciana,Alicante,BC5090,3850,9760,Alauda arvensis,Alondra común,0,NO REPRODUCTOR,REPRODUCTORA
Comunidad Valenciana,Alicante,BD3000,3850,9760,Alauda arvensis,Alondra común,0,NO REPRODUCTOR,REPRODUCTORA
Comunidad Valenciana,Alicante,BD4000,3850,9760,Alauda arvensis,Alondra común,0,NO REPRODUCTOR,REPRODUCTORA
Comunidad Valenciana,Castellón,BE4080,3850,9760,Alauda arvensis,Alondra común,4,PROBABLE,REPRODUCTORA
Comunidad Valenciana,Castellón,BE7060,3850,9760,Alauda arvensis,Alondra común,1,POSIBLE,REPRODUCTORA
Comunidad Valenciana,Castellón,BE7090,3850,9760,Alauda arvensis,Alondra común,2,POSIBLE,REPRODUCTORA
Cataluña,Tarragona,BE8090,3850,9760,Alauda arvensis,Alondra común,2,POSIBLE,REPRODUCTORA
Comunidad Valenciana,Castellón,BF5000,3850,9760,Alauda arvensis,Alondra común,2,POSIBLE,REPRODUCTORA
Aragón,Huesca,BF5090,3850,9760,Alauda arvensis,Alondra común,1,POSIBLE,REPRODUCTORA
Comunidad Valenciana,Castellón,BF6000,3850,9760,Alauda arvensis,Alondra común,1,POSIBLE,REPRODUCTORA
Aragón,Teruel,BF6040,3850,9760,Alauda arvensis,Alondra común,2,POSIBLE,REPRODUCTORA
Cataluña,Tarragona,BF7000,3850,9760,Alauda arvensis,Alondra común,2,POSIBLE,REPRODUCTORA
Cataluña,Tarragona,BF7020,3850,9760,Alauda arvensis,Alondra común,2,POSIBLE,REPRODUCTORA
Cataluña,Tarragona,BF8000,3850,9760,Alauda arvensis,Alondra común,2,POSIBLE,REPRODUCTORA
Cataluña,Tarragona,BF8010,3850,9760,Alauda arvensis,Alondra común,2,POSIBLE,REPRODUCTORA
Cataluña,Lérida,BF8080,3850,9760,Alauda arvensis,Alondra común,1,POSIBLE,REPRODUCTORA
Cataluña,Tarragona,BF9060,3850,9760,Alauda arvensis,Alondra común,2,POSIBLE,REPRODUCTORA
Cataluña,Lérida,BF9090,3850,9760,Alauda arvensis,Alondra común,2,POSIBLE,REPRODUCTORA
Aragón,Huesca,BG5000,3850,9760,Alauda arvensis,Alondra común,1,POSIBLE,REPRODUCTORA
Aragón,Huesca,BG5010,3850,9760,Alauda arvensis,Alondra común,1,POSIBLE,REPRODUCTORA
Aragón,Huesca,BG5070,3850,9760,Alauda arvensis,Alondra común,0,NO REPRODUCTOR,REPRODUCTORA
Aragón,Huesca,BG5080,3850,9760,Alauda arvensis,Alondra común,0,NO REPRODUCTOR,REPRODUCTORA
Aragón,Huesca,BG6010,3850,9760,Alauda arvensis,Alondra común,1,POSIBLE,REPRODUCTORA
Aragón,Huesca,BG6040,3850,9760,Alauda arvensis,Alondra común,5,PROBABLE,REPRODUCTORA
Aragón,Huesca,BG6050,3850,9760,Alauda arvensis,Alondra común,0,NO REPRODUCTOR,REPRODUCTORA
Aragón,Huesca,BG6060,3850,9760,Alauda arvensis,Alondra común,0,NO REPRODUCTOR,REPRODUCTORA
Aragón,Huesca,BG7030,3850,9760,Alauda arvensis,Alondra común,5,PROBABLE,REPRODUCTORA
Aragón,Huesca,BG7040,3850,9760,Alauda arvensis,Alondra común,0,NO REPRODUCTOR,REPRODUCTORA
Aragón,Huesca,BG7050,3850,9760,Alauda arvensis,Alondra común,0,NO REPRODUCTOR,REPRODUCTORA
Aragón,Huesca,BG8050,3850,9760,Alauda arvensis,Alondra común,0,NO REPRODUCTOR,REPRODUCTORA
Aragón,Huesca,BG8060,3850,9760,Alauda arvensis,Alondra común,10,SEGURA,REPRODUCTORA
Aragón,Huesca,BG8090,3850,9760,Alauda arvensis,Alondra común,4,PROBABLE,REPRODUCTORA
Cataluña,Lérida,BG9020,3850,9760,Alauda arvensis,Alondra común,2,POSIBLE,REPRODUCTORA
Aragón,Huesca,BG9030,3850,9760,Alauda arvensis,Alondra común,1,POSIBLE,REPRODUCTORA
Aragón,Huesca,BH5010,3850,9760,Alauda arvensis,Alondra común,1,POSIBLE,REPRODUCTORA
Aragón,Huesca,BH5020,3850,9760,Alauda arvensis,Alondra común,1,POSIBLE,REPRODUCTORA
Aragón,Huesca,BH6020,3850,9760,Alauda arvensis,Alondra común,1,POSIBLE,REPRODUCTORA
Aragón,Huesca,BH8010,3850,9760,Alauda arvensis,Alondra común,1,POSIBLE,REPRODUCTORA
Aragón,Huesca,BH8020,3850,9760,Alauda arvensis,Alondra común,1,POSIBLE,REPRODUCTORA
Aragón,Huesca,BH9010,3850,9760,Alauda arvensis,Alondra común,4,PROBABLE,REPRODUCTORA
Islas Baleares,Baleares,CC6070,3850,9760,Alauda arvensis,Alondra común,0,NO REPRODUCTOR,REPRODUCTORA
Islas Baleares,Baleares,CC6080,3850,9760,Alauda arvensis,Alondra común,0,NO REPRODUCTOR,REPRODUCTORA
Cataluña,Lérida,CF0090,3850,9760,Alauda arvensis,Alondra común,2,POSIBLE,REPRODUCTORA
Cataluña,Tarragona,CF1000,3850,9760,Alauda arvensis,Alondra común,12,SEGURA,REPRODUCTORA
Cataluña,Tarragona,CF1070,3850,9760,Alauda arvensis,Alondra común,4,PROBABLE,REPRODUCTORA
Cataluña,Tarragona,CF2070,3850,9760,Alauda arvensis,Alondra común,14,SEGURA,REPRODUCTORA
Cataluña,Tarragona,CF3070,3850,9760,Alauda arvensis,Alondra común,5,PROBABLE,REPRODUCTORA
Cataluña,Tarragona,CF3080,3850,9760,Alauda arvensis,Alondra común,1,POSIBLE,REPRODUCTORA
Cataluña,Tarragona,CF4080,3850,9760,Alauda arvensis,Alondra común,2,POSIBLE,REPRODUCTORA
Cataluña,Tarragona,CF4090,3850,9760,Alauda arvensis,Alondra común,6,PROBABLE,REPRODUCTORA
Cataluña,Tarragona,CF5070,3850,9760,Alauda arvensis,Alondra común,2,POSIBLE,REPRODUCTORA
Cataluña,Tarragona,CF5080,3850,9760,Alauda arvensis,Alondra común,4,PROBABLE,REPRODUCTORA
Cataluña,Tarragona,CF5090,3850,9760,Alauda arvensis,Alondra común,4,PROBABLE,REPRODUCTORA
Cataluña,Tarragona,CF6080,3850,9760,Alauda arvensis,Alondra común,3,PROBABLE,REPRODUCTORA
Cataluña,Tarragona,CF6090,3850,9760,Alauda arvensis,Alondra común,4,PROBABLE,REPRODUCTORA
Cataluña,Barcelona,CF7080,3850,9760,Alauda arvensis,Alondra común,5,PROBABLE,REPRODUCTORA
Cataluña,Barcelona,CF7090,3850,9760,Alauda arvensis,Alondra común,2,POSIBLE,REPRODUCTORA
Cataluña,Barcelona,CF8080,3850,9760,Alauda arvensis,Alondra común,2,POSIBLE,REPRODUCTORA
Cataluña,Barcelona,CF8090,3850,9760,Alauda arvensis,Alondra común,4,PROBABLE,REPRODUCTORA
Cataluña,Lérida,CG0030,3850,9760,Alauda arvensis,Alondra común,12,SEGURA,REPRODUCTORA
Cataluña,Lérida,CG0040,3850,9760,Alauda arvensis,Alondra común,6,PROBABLE,REPRODUCTORA
Aragón,Huesca,CG0050,3850,9760,Alauda arvensis,Alondra común,4,PROBABLE,REPRODUCTORA
Aragón,Huesca,CG0060,3850,9760,Alauda arvensis,Alondra común,2,POSIBLE,REPRODUCTORA
Cataluña,Lérida,CG1000,3850,9760,Alauda arvensis,Alondra común,4,PROBABLE,REPRODUCTORA
Cataluña,Lérida,CG1020,3850,9760,Alauda arvensis,Alondra común,2,POSIBLE,REPRODUCTORA
Cataluña,Lérida,CG1040,3850,9760,Alauda arvensis,Alondra común,14,SEGURA,REPRODUCTORA
Cataluña,Lérida,CG1050,3850,9760,Alauda arvensis,Alondra común,4,PROBABLE,REPRODUCTORA
Cataluña,Lérida,CG1060,3850,9760,Alauda arvensis,Alondra común,1,POSIBLE,REPRODUCTORA
Cataluña,Lérida,CG1080,3850,9760,Alauda arvensis,Alondra común,1,POSIBLE,REPRODUCTORA
Cataluña,Lérida,CG1090,3850,9760,Alauda arvensis,Alondra común,1,POSIBLE,REPRODUCTORA
Cataluña,Lérida,CG2020,3850,9760,Alauda arvensis,Alondra común,2,POSIBLE,REPRODUCTORA
Cataluña,Lérida,CG2030,3850,9760,Alauda arvensis,Alondra común,1,POSIBLE,REPRODUCTORA
