"UTMCODE","Species"
"BC4080","Galerida cristata"
"BC4080","Glareola pratincola"
"BC4080","Asio flammeus"
"BC4080","Alectoris rufa"
"BC4090","Emberiza calandra"
"BC4090","Cisticola juncidis"
"BC4090","Oenanthe hispanica"
"BC4090","Alectoris rufa"
"BC5090","Alectoris rufa"
"BC5090","Cisticola juncidis"
"BC5090","Alauda arvensis"
"BC5090","Asio flammeus"
"BC5090","Falco naumanni"
"BC5090","Galerida cristata"
"BC5090","Anthus campestris"
"BC5090","Oenanthe hispanica"
"BC5090","Oenanthe oenanthe"
"BC5090","Curruca conspicillata"
"BC5090","Galerida theklae"
"BD4000","Alauda arvensis"
"BD4000","Cisticola juncidis"
"BD4000","Alectoris rufa"
"BD4000","Galerida theklae"
"BD4000","Emberiza calandra"
"BE4030","Emberiza calandra"
"BE4030","Cisticola juncidis"
"BE4030","Alauda arvensis"
"BE4030","Galerida cristata"
"BE4030","Oenanthe oenanthe"
"BE4040","Alectoris rufa"
"BE4040","Cisticola juncidis"
"BE4040","Circus pygargus"
"BE4050","Circus pygargus"
"BE4060","Oenanthe hispanica"
"BE4070","Cisticola juncidis"
"BE4070","Oenanthe hispanica"
"BE4070","Circus pygargus"
"BE4070","Emberiza calandra"
"BE4070","Alectoris rufa"
"BE4070","Galerida cristata"
"BE4080","Anthus campestris"
"BE4080","Alauda arvensis"
"BE4080","Alectoris rufa"
"BE4080","Oenanthe hispanica"
"BE4080","Circus pygargus"
"BE4080","Burhinus oedicnemus"
"BE4080","Galerida theklae"
"BE4080","Cisticola juncidis"
"BE4080","Oenanthe oenanthe"
"BE4080","Emberiza calandra"
"BE4090","Oenanthe oenanthe"
"BE5040","Oenanthe oenanthe"
"BE5040","Cisticola juncidis"
"BE5040","Glareola pratincola"
"BE5040","Circus pygargus"
"BE5040","Emberiza calandra"
"BE5040","Alauda arvensis"
"BE5040","Galerida cristata"
"BE5050","Galerida cristata"
"BE5050","Curruca conspicillata"
"BE5050","Cisticola juncidis"
"BE5050","Alauda arvensis"
"BE5050","Emberiza calandra"
"BE5050","Oenanthe oenanthe"
"BE5050","Glareola pratincola"
"BE5050","Circus pygargus"
"BE5050","Galerida theklae"
"BE5050","Anthus campestris"
"BE5050","Oenanthe hispanica"
"BE5050","Falco naumanni"
"BE5050","Alectoris rufa"
"BE5060","Circus pygargus"
"BE5070","Galerida cristata"
"BE5070","Cisticola juncidis"
"BE5070","Alectoris rufa"
"BE5070","Galerida theklae"
"BE5070","Oenanthe hispanica"
"BE5070","Emberiza calandra"
"BE5070","Anthus campestris"
"BE5070","Circus pygargus"
"BE5080","Circus pygargus"
"BE5090","Galerida cristata"
"BE5090","Oenanthe hispanica"
"BE5090","Emberiza calandra"
"BE5090","Oenanthe oenanthe"
"BE5090","Curruca conspicillata"
"BE5090","Alectoris rufa"
"BE5090","Anthus campestris"
"BE6050","Asio flammeus"
"BE6050","Burhinus oedicnemus"
"BE6050","Alectoris rufa"
"BE6050","Circus cyaneus"
"BE6050","Emberiza calandra"
"BE6050","Glareola pratincola"
"BE6050","Circus pygargus"
"BE6050","Alauda arvensis"
"BE6050","Oenanthe hispanica"
"BE6050","Cisticola juncidis"
"BE6050","Oenanthe oenanthe"
"BE6050","Anthus campestris"
"BE6050","Galerida cristata"
"BE6060","Circus pygargus"
"BE6070","Circus pygargus"
"BE6080","Circus pygargus"
"BE6080","Oenanthe oenanthe"
"BE6080","Asio flammeus"
"BE6080","Oenanthe hispanica"
"BE6080","Emberiza calandra"
"BE6080","Anthus campestris"
"BE6080","Coturnix coturnix"
"BE6080","Galerida cristata"
"BE6080","Alectoris rufa"
"BE6080","Alauda arvensis"
"BE6080","Cisticola juncidis"
"BE6090","Alectoris rufa"
"BE6090","Anthus campestris"
"BE6090","Cisticola juncidis"
"BE6090","Emberiza calandra"
"BE6090","Curruca conspicillata"
"BE6090","Oenanthe oenanthe"
"BE6090","Coturnix coturnix"
"BE6090","Circus pygargus"
"BE6090","Galerida theklae"
"BE7070","Cisticola juncidis"
"BE7070","Coturnix coturnix"
"BE7070","Alectoris rufa"
"BE7070","Emberiza calandra"
"BE7070","Galerida cristata"
"BE7080","Circus pygargus"
"BE7080","Burhinus oedicnemus"
"BE7090","Anthus campestris"
"BE7090","Oenanthe oenanthe"
"BE7090","Galerida cristata"
"BE7090","Curruca conspicillata"
"BE7090","Burhinus oedicnemus"
"BE7090","Galerida theklae"
"BE7090","Cisticola juncidis"
"BE7090","Falco naumanni"
"BE7090","Alaudala rufescens"
"BE7090","Circus cyaneus"
"BE7090","Coturnix coturnix"
"BE7090","Alectoris rufa"
"BE7090","Circus pygargus"
"BE7090","Emberiza calandra"
"BE7090","Oenanthe hispanica"
"BE7090","Alauda arvensis"
"BE8080","Galerida cristata"
"BE8080","Burhinus oedicnemus"
"BE8080","Alectoris rufa"
"BE8080","Cisticola juncidis"
"BE8080","Oenanthe oenanthe"
"BE8090","Coturnix coturnix"
"BE8090","Burhinus oedicnemus"
"BE8090","Galerida cristata"
"BE8090","Cisticola juncidis"
"BE8090","Anthus campestris"
"BE8090","Emberiza calandra"
"BE8090","Oenanthe oenanthe"
"BE8090","Alauda arvensis"
"BE8090","Circus pygargus"
"BE8090","Alectoris rufa"
"BE8090","Oenanthe hispanica"
"BE8090","Falco naumanni"
"BF4000","Alectoris rufa"
"BF4000","Anthus campestris"
"BF4000","Oenanthe oenanthe"
"BF4010","Galerida theklae"
"BF4010","Emberiza calandra"
"BF4010","Alectoris rufa"
"BF5000","Emberiza calandra"
"BF5000","Galerida cristata"
"BF5000","Alectoris rufa"
"BF5000","Oenanthe oenanthe"
"BF5000","Oenanthe hispanica"
"BF5000","Anthus campestris"
"BF5000","Alauda arvensis"
"BF5000","Galerida theklae"
"BF5000","Coturnix coturnix"
"BF5010","Galerida theklae"
"BF5010","Oenanthe oenanthe"
"BF5010","Emberiza calandra"
"BF5020","Alectoris rufa"
"BF5030","Cisticola juncidis"
"BF5030","Galerida theklae"
"BF5030","Oenanthe hispanica"
"BF5030","Melanocorypha calandra"
"BF5030","Alectoris rufa"
"BF5030","Alauda arvensis"
"BF5030","Emberiza calandra"
"BF5030","Galerida cristata"
"BF5040","Oenanthe hispanica"
"BF5040","Curruca conspicillata"
"BF5040","Cisticola juncidis"
"BF5040","Melanocorypha calandra"
"BF5040","Emberiza calandra"
"BF5040","Galerida theklae"
"BF5040","Alectoris rufa"
"BF5060","Oenanthe hispanica"
"BF5060","Emberiza calandra"
"BF5060","Burhinus oedicnemus"
"BF5060","Curruca conspicillata"
"BF5060","Oenanthe oenanthe"
"BF5060","Falco naumanni"
"BF5060","Cisticola juncidis"
"BF5060","Melanocorypha calandra"
"BF5060","Alectoris rufa"
"BF5070","Falco naumanni"
"BF5080","Calandrella brachydactyla"
"BF5080","Melanocorypha calandra"
"BF5080","Oenanthe oenanthe"
"BF5080","Pterocles alchata"
"BF5080","Anthus campestris"
"BF5080","Alaudala rufescens"
"BF5080","Emberiza calandra"
"BF5080","Galerida theklae"
"BF5080","Alectoris rufa"
"BF5080","Pterocles orientalis"
"BF5080","Oenanthe hispanica"
"BF5090","Anthus campestris"
"BF5090","Alectoris rufa"
"BF5090","Circus cyaneus"
"BF5090","Burhinus oedicnemus"
"BF5090","Melanocorypha calandra"
"BF5090","Oenanthe hispanica"
"BF5090","Oenanthe oenanthe"
"BF5090","Circus pygargus"
"BF5090","Falco naumanni"
"BF5090","Alauda arvensis"
"BF5090","Galerida theklae"
"BF5090","Curruca conspicillata"
"BF5090","Emberiza calandra"
"BF5090","Galerida cristata"
"BF5090","Calandrella brachydactyla"
"BF5090","Alaudala rufescens"
"BF5090","Pterocles alchata"
"BF5090","Pterocles orientalis"
"BF5090","Cisticola juncidis"
"BF5090","Tetrax tetrax"
"BF6000","Oenanthe oenanthe"
"BF6000","Alauda arvensis"
"BF6000","Alectoris rufa"
"BF6000","Anthus campestris"
"BF6000","Circus pygargus"
"BF6000","Cisticola juncidis"
"BF6000","Galerida cristata"
"BF6000","Oenanthe hispanica"
"BF6000","Emberiza calandra"
"BF6000","Calandrella brachydactyla"
"BF6010","Anthus campestris"
"BF6010","Oenanthe oenanthe"
"BF6020","Alectoris rufa"
"BF6020","Emberiza calandra"
"BF6030","Emberiza calandra"
"BF6030","Alectoris rufa"
"BF6030","Coturnix coturnix"
"BF6030","Galerida cristata"
"BF6030","Oenanthe hispanica"
"BF6030","Cisticola juncidis"
"BF6030","Galerida theklae"
"BF6040","Emberiza calandra"
"BF6040","Galerida cristata"
"BF6040","Oenanthe hispanica"
"BF6040","Galerida theklae"
"BF6040","Alectoris rufa"
"BF6040","Cisticola juncidis"
"BF6040","Alauda arvensis"
"BF6050","Alectoris rufa"
"BF6050","Galerida theklae"
"BF6050","Emberiza calandra"
"BF6050","Cisticola juncidis"
"BF6050","Oenanthe hispanica"
"BF6050","Alauda arvensis"
"BF6050","Galerida cristata"
"BF6050","Melanocorypha calandra"
"BF6050","Circus pygargus"
"BF6050","Oenanthe oenanthe"
"BF6050","Anthus campestris"
"BF6060","Galerida theklae"
"BF6060","Emberiza calandra"
"BF6070","Emberiza calandra"
"BF6070","Calandrella brachydactyla"
"BF6070","Alectoris rufa"
"BF6070","Anthus campestris"
"BF6070","Galerida cristata"
"BF6080","Melanocorypha calandra"
"BF6080","Oenanthe hispanica"
"BF6080","Emberiza calandra"
"BF6080","Alectoris rufa"
"BF6080","Alauda arvensis"
"BF6090","Emberiza calandra"
"BF6090","Circus cyaneus"
"BF6090","Calandrella brachydactyla"
"BF6090","Falco naumanni"
"BF6090","Melanocorypha calandra"
"BF6090","Burhinus oedicnemus"
"BF6090","Pterocles alchata"
"BF6090","Circus pygargus"
"BF6090","Cisticola juncidis"
"BF6090","Oenanthe hispanica"
"BF6090","Curruca conspicillata"
"BF6090","Alaudala rufescens"
"BF6090","Pterocles orientalis"
"BF6090","Oenanthe oenanthe"
"BF6090","Alauda arvensis"
"BF6090","Anthus campestris"
"BF6090","Alectoris rufa"
"BF6090","Galerida theklae"
"BF7000","Burhinus oedicnemus"
"BF7000","Circus pygargus"
"BF7000","Anthus campestris"
"BF7000","Emberiza calandra"
"BF7000","Alauda arvensis"
"BF7000","Galerida cristata"
"BF7000","Cisticola juncidis"
"BF7000","Alectoris rufa"
"BF7000","Coturnix coturnix"
"BF7000","Falco naumanni"
"BF7000","Oenanthe hispanica"
"BF7000","Circus cyaneus"
"BF7000","Galerida theklae"
"BF7010","Alectoris rufa"
"BF7010","Alauda arvensis"
"BF7010","Emberiza calandra"
"BF7010","Oenanthe hispanica"
"BF7010","Galerida cristata"
"BF7020","Alectoris rufa"
"BF7020","Anthus campestris"
"BF7020","Oenanthe oenanthe"
"BF7020","Emberiza calandra"
"BF7020","Alauda arvensis"
"BF7030","Oenanthe hispanica"
"BF7030","Cisticola juncidis"
"BF7030","Oenanthe oenanthe"
"BF7030","Galerida cristata"
"BF7030","Emberiza calandra"
"BF7030","Anthus campestris"
"BF7030","Alectoris rufa"
"BF7040","Oenanthe hispanica"
"BF7040","Galerida cristata"
"BF7040","Alectoris rufa"
"BF7040","Calandrella brachydactyla"
"BF7040","Emberiza calandra"
"BF7040","Cisticola juncidis"
"BF7050","Galerida cristata"
"BF7050","Emberiza calandra"
"BF7050","Oenanthe hispanica"
"BF7050","Alectoris rufa"
"BF7050","Coturnix coturnix"
"BF7050","Circus pygargus"
"BF7060","Oenanthe hispanica"
"BF7060","Galerida cristata"
"BF7060","Emberiza calandra"
"BF7060","Galerida theklae"
"BF7060","Alectoris rufa"
"BF7060","Cisticola juncidis"
"BF7070","Emberiza calandra"
"BF7070","Oenanthe oenanthe"
"BF7070","Melanocorypha calandra"
"BF7070","Alectoris rufa"
"BF7080","Melanocorypha calandra"
"BF7080","Alaudala rufescens"
"BF7080","Emberiza calandra"
"BF7080","Cisticola juncidis"
"BF7080","Burhinus oedicnemus"
"BF7080","Alauda arvensis"
"BF7080","Galerida theklae"
"BF7080","Oenanthe hispanica"
"BF7080","Falco naumanni"
"BF7080","Galerida cristata"
"BF7080","Anthus campestris"
"BF7080","Calandrella brachydactyla"
"BF7080","Alectoris rufa"
"BF7080","Curruca conspicillata"
"BF7090","Cisticola juncidis"
"BF7090","Tetrax tetrax"
"BF7090","Emberiza calandra"
"BF7090","Melanocorypha calandra"
"BF7090","Circus pygargus"
"BF7090","Oenanthe oenanthe"
"BF7090","Anthus campestris"
"BF7090","Alauda arvensis"
"BF7090","Curruca conspicillata"
"BF7090","Galerida cristata"
"BF7090","Oenanthe hispanica"
"BF7090","Calandrella brachydactyla"
"BF7090","Coturnix coturnix"
"BF7090","Alectoris rufa"
"BF7090","Burhinus oedicnemus"
"BF7090","Pterocles alchata"
"BF7090","Falco naumanni"
"BF7090","Galerida theklae"
"BF8000","Circus pygargus"
"BF8000","Oenanthe hispanica"
"BF8000","Falco naumanni"
"BF8000","Alauda arvensis"
"BF8000","Calandrella brachydactyla"
"BF8000","Burhinus oedicnemus"
"BF8000","Cisticola juncidis"
"BF8000","Oenanthe oenanthe"
"BF8000","Galerida theklae"
"BF8000","Coturnix coturnix"
"BF8000","Circus cyaneus"
"BF8000","Anthus campestris"
"BF8000","Galerida cristata"
"BF8000","Emberiza calandra"
"BF8000","Alectoris rufa"
"BF8010","Oenanthe oenanthe"
"BF8010","Alauda arvensis"
"BF8010","Galerida theklae"
"BF8010","Oenanthe hispanica"
"BF8010","Emberiza calandra"
"BF8010","Circus pygargus"
"BF8010","Alectoris rufa"
"BF8010","Galerida cristata"
"BF8010","Anthus campestris"
"BF8010","Cisticola juncidis"
"BF8020","Galerida cristata"
"BF8020","Emberiza calandra"
"BF8020","Cisticola juncidis"
"BF8020","Oenanthe hispanica"
"BF8020","Alectoris rufa"
"BF8030","Emberiza calandra"
"BF8030","Oenanthe oenanthe"
"BF8030","Anthus campestris"
"BF8030","Alectoris rufa"
"BF8030","Cisticola juncidis"
"BF8030","Galerida cristata"
"BF8040","Calandrella brachydactyla"
"BF8040","Galerida cristata"
"BF8040","Emberiza calandra"
"BF8040","Alectoris rufa"
"BF8040","Anthus campestris"
"BF8040","Cisticola juncidis"
"BF8040","Galerida theklae"
"BF8040","Oenanthe hispanica"
"BF8050","Emberiza calandra"
"BF8050","Cisticola juncidis"
"BF8050","Galerida theklae"
"BF8050","Alectoris rufa"
"BF8050","Oenanthe hispanica"
"BF8050","Galerida cristata"
"BF8060","Anthus campestris"
"BF8060","Oenanthe hispanica"
"BF8060","Cisticola juncidis"
"BF8060","Emberiza calandra"
"BF8060","Galerida theklae"
"BF8060","Alectoris rufa"
"BF8060","Galerida cristata"
"BF8070","Galerida cristata"
"BF8070","Oenanthe hispanica"
"BF8070","Alauda arvensis"
"BF8070","Galerida theklae"
"BF8070","Cisticola juncidis"
"BF8070","Emberiza calandra"
"BF8070","Alectoris rufa"
"BF8080","Pterocles orientalis"
"BF8080","Alectoris rufa"
"BF8080","Coturnix coturnix"
"BF8080","Pterocles alchata"
"BF8080","Tetrax tetrax"
"BF8080","Curruca conspicillata"
"BF8080","Oenanthe oenanthe"
"BF8080","Cisticola juncidis"
"BF8080","Calandrella brachydactyla"
"BF8080","Burhinus oedicnemus"
"BF8080","Oenanthe hispanica"
"BF8080","Anthus campestris"
"BF8080","Galerida cristata"
"BF8080","Alaudala rufescens"
"BF8080","Galerida theklae"
"BF8080","Melanocorypha calandra"
"BF8080","Alauda arvensis"
"BF8080","Emberiza calandra"
"BF8090","Alaudala rufescens"
"BF8090","Alauda arvensis"
"BF8090","Melanocorypha calandra"
"BF8090","Galerida theklae"
"BF8090","Tetrax tetrax"
"BF8090","Oenanthe hispanica"
"BF8090","Pterocles orientalis"
"BF8090","Anthus campestris"
"BF8090","Pterocles alchata"
"BF8090","Alectoris rufa"
"BF8090","Curruca conspicillata"
"BF8090","Galerida cristata"
"BF8090","Cisticola juncidis"
"BF8090","Oenanthe oenanthe"
"BF8090","Burhinus oedicnemus"
"BF8090","Coturnix coturnix"
