"UTMCODE","Species"
"BC5090","Galerida theklae"
"BC5090","Oenanthe hispanica"
"BC5090","Galerida cristata"
"BC5090","Alectoris rufa"
"BC5090","Cisticola juncidis"
"BC5090","Alauda arvensis"
"BD4000","Cisticola juncidis"
"BD4000","Emberiza calandra"
"BD4000","Alauda arvensis"
"BD4000","Alectoris rufa"
"BD4000","Galerida theklae"
"BE4030","Cisticola juncidis"
"BE4030","Emberiza calandra"
"BE4040","Circus pygargus"
"BE4040","Cisticola juncidis"
"BE4040","Alectoris rufa"
"BE4050","Circus pygargus"
"BE4070","Circus pygargus"
"BE4080","Alectoris rufa"
"BE4080","Anthus campestris"
"BE4080","Burhinus oedicnemus"
"BE4080","Circus pygargus"
"BE4080","Cisticola juncidis"
"BE4080","Emberiza calandra"
"BE4080","Galerida theklae"
"BE4080","Oenanthe hispanica"
"BE4080","Oenanthe oenanthe"
"BE4080","Alauda arvensis"
"BE5040","Oenanthe oenanthe"
"BE5040","Circus pygargus"
"BE5040","Cisticola juncidis"
"BE5040","Glareola pratincola"
"BE5050","Emberiza calandra"
"BE5050","Anthus campestris"
"BE5050","Oenanthe hispanica"
"BE5050","Oenanthe oenanthe"
"BE5050","Circus pygargus"
"BE5050","Cisticola juncidis"
"BE5050","Glareola pratincola"
"BE5050","Curruca conspicillata"
"BE5050","Galerida cristata"
"BE5050","Galerida theklae"
"BE5060","Circus pygargus"
"BE5070","Anthus campestris"
"BE5070","Galerida cristata"
"BE5070","Circus pygargus"
"BE5070","Alectoris rufa"
"BE5070","Oenanthe hispanica"
"BE5070","Cisticola juncidis"
"BE5070","Emberiza calandra"
"BE5070","Galerida theklae"
"BE5080","Circus pygargus"
"BE5090","Anthus campestris"
"BE5090","Emberiza calandra"
"BE5090","Galerida cristata"
"BE5090","Alectoris rufa"
"BE5090","Oenanthe oenanthe"
"BE5090","Curruca conspicillata"
"BE5090","Oenanthe hispanica"
"BE6050","Anthus campestris"
"BE6050","Cisticola juncidis"
"BE6050","Galerida cristata"
"BE6050","Glareola pratincola"
"BE6050","Circus pygargus"
"BE6050","Oenanthe oenanthe"
"BE6070","Circus pygargus"
"BE6080","Cisticola juncidis"
"BE6080","Galerida cristata"
"BE6080","Oenanthe hispanica"
"BE6080","Coturnix coturnix"
"BE6080","Emberiza calandra"
"BE6080","Anthus campestris"
"BE6080","Circus pygargus"
"BE6080","Oenanthe oenanthe"
"BE6080","Alectoris rufa"
"BE6090","Alectoris rufa"
"BE6090","Circus pygargus"
"BE6090","Oenanthe oenanthe"
"BE6090","Curruca conspicillata"
"BE6090","Anthus campestris"
"BE6090","Coturnix coturnix"
"BE6090","Emberiza calandra"
"BE6090","Cisticola juncidis"
"BE6090","Galerida theklae"
"BE7070","Coturnix coturnix"
"BE7070","Emberiza calandra"
"BE7070","Cisticola juncidis"
"BE7080","Circus pygargus"
"BE7080","Burhinus oedicnemus"
"BE7090","Alectoris rufa"
"BE7090","Anthus campestris"
"BE7090","Circus pygargus"
"BE7090","Cisticola juncidis"
"BE7090","Coturnix coturnix"
"BE7090","Emberiza calandra"
"BE7090","Galerida cristata"
"BE7090","Galerida theklae"
"BE7090","Oenanthe hispanica"
"BE7090","Curruca conspicillata"
"BE7090","Alauda arvensis"
"BE7090","Oenanthe oenanthe"
"BE8080","Alectoris rufa"
"BE8080","Burhinus oedicnemus"
"BE8080","Cisticola juncidis"
"BE8080","Galerida cristata"
"BE8090","Alauda arvensis"
"BE8090","Coturnix coturnix"
"BE8090","Emberiza calandra"
"BE8090","Oenanthe hispanica"
"BE8090","Cisticola juncidis"
"BE8090","Alectoris rufa"
"BE8090","Galerida cristata"
"BE8090","Burhinus oedicnemus"
"BE8090","Anthus campestris"
"BF4000","Anthus campestris"
"BF5000","Alauda arvensis"
"BF5000","Anthus campestris"
"BF5000","Oenanthe hispanica"
"BF5000","Oenanthe oenanthe"
"BF5000","Alectoris rufa"
"BF5000","Galerida theklae"
"BF5000","Galerida cristata"
"BF5000","Coturnix coturnix"
"BF5000","Emberiza calandra"
"BF5030","Galerida theklae"
"BF5030","Cisticola juncidis"
"BF5030","Oenanthe hispanica"
"BF5030","Emberiza calandra"
"BF5030","Galerida cristata"
"BF5040","Emberiza calandra"
"BF5040","Alectoris rufa"
"BF5040","Cisticola juncidis"
"BF5040","Galerida theklae"
"BF5090","Alectoris rufa"
"BF5090","Anthus campestris"
"BF5090","Circus cyaneus"
"BF5090","Circus pygargus"
"BF5090","Burhinus oedicnemus"
"BF5090","Falco naumanni"
"BF5090","Galerida cristata"
"BF5090","Cisticola juncidis"
"BF5090","Calandrella brachydactyla"
"BF5090","Alaudala rufescens"
"BF5090","Oenanthe oenanthe"
"BF5090","Pterocles alchata"
"BF5090","Emberiza calandra"
"BF5090","Curruca conspicillata"
"BF5090","Tetrax tetrax"
"BF5090","Melanocorypha calandra"
"BF5090","Pterocles orientalis"
"BF5090","Alauda arvensis"
"BF5090","Oenanthe hispanica"
"BF5090","Galerida theklae"
"BF6000","Alauda arvensis"
"BF6000","Alectoris rufa"
"BF6000","Anthus campestris"
"BF6000","Circus pygargus"
"BF6000","Cisticola juncidis"
"BF6000","Emberiza calandra"
"BF6000","Calandrella brachydactyla"
"BF6000","Galerida cristata"
"BF6000","Oenanthe hispanica"
"BF6000","Oenanthe oenanthe"
"BF6010","Anthus campestris"
"BF6020","Emberiza calandra"
"BF6030","Coturnix coturnix"
"BF6030","Emberiza calandra"
"BF6030","Galerida cristata"
"BF6030","Alectoris rufa"
"BF6030","Oenanthe hispanica"
"BF6030","Galerida theklae"
"BF6040","Alauda arvensis"
"BF6040","Alectoris rufa"
"BF6040","Emberiza calandra"
"BF6040","Cisticola juncidis"
"BF6040","Galerida cristata"
"BF6040","Galerida theklae"
"BF6040","Oenanthe hispanica"
"BF6050","Anthus campestris"
"BF6050","Cisticola juncidis"
"BF6050","Emberiza calandra"
"BF6050","Galerida cristata"
"BF6050","Galerida theklae"
"BF6050","Oenanthe hispanica"
"BF6050","Alectoris rufa"
"BF6060","Galerida theklae"
"BF6070","Anthus campestris"
"BF6070","Galerida cristata"
"BF6070","Calandrella brachydactyla"
"BF6070","Emberiza calandra"
"BF6090","Falco naumanni"
"BF7000","Burhinus oedicnemus"
"BF7000","Circus pygargus"
"BF7000","Emberiza calandra"
"BF7000","Falco naumanni"
"BF7000","Cisticola juncidis"
"BF7000","Anthus campestris"
"BF7000","Oenanthe hispanica"
"BF7000","Galerida cristata"
"BF7000","Coturnix coturnix"
"BF7000","Alauda arvensis"
"BF7000","Galerida theklae"
"BF7000","Alectoris rufa"
"BF7010","Alectoris rufa"
"BF7010","Oenanthe hispanica"
"BF7010","Galerida cristata"
"BF7020","Anthus campestris"
"BF7020","Alectoris rufa"
"BF7020","Oenanthe oenanthe"
"BF7020","Alauda arvensis"
"BF7030","Cisticola juncidis"
"BF7030","Oenanthe oenanthe"
"BF7030","Emberiza calandra"
"BF7030","Alectoris rufa"
"BF7030","Anthus campestris"
"BF7030","Galerida cristata"
"BF7030","Oenanthe hispanica"
"BF7040","Emberiza calandra"
"BF7040","Galerida cristata"
"BF7040","Cisticola juncidis"
"BF7040","Calandrella brachydactyla"
"BF7040","Oenanthe hispanica"
