"UTMCODE","Species"
"BC4080","Oenanthe hispanica"
"BC4080","Alectoris rufa"
"BC4080","Curruca conspicillata"
"BC4080","Galerida cristata"
"BC4080","Emberiza calandra"
"BC4080","Cisticola juncidis"
"BC4090","Oenanthe hispanica"
"BC4090","Curruca conspicillata"
"BC4090","Galerida theklae"
"BC4090","Calandrella brachydactyla"
"BC4090","Emberiza calandra"
"BC4090","Coturnix coturnix"
"BC4090","Alectoris rufa"
"BC4090","Cisticola juncidis"
"BC4090","Galerida cristata"
"BC5090","Oenanthe hispanica"
"BC5090","Curruca conspicillata"
"BC5090","Galerida theklae"
"BC5090","Cisticola juncidis"
"BC5090","Emberiza calandra"
"BC5090","Coturnix coturnix"
"BC5090","Alectoris rufa"
"BC5090","Galerida cristata"
"BD4000","Alectoris rufa"
"BD4000","Cisticola juncidis"
"BD4000","Oenanthe hispanica"
"BD4000","Coturnix coturnix"
"BD4000","Curruca conspicillata"
"BD4000","Galerida cristata"
"BE4030","Alauda arvensis"
"BE4030","Cisticola juncidis"
"BE4030","Coturnix coturnix"
"BE4030","Galerida cristata"
"BE4030","Galerida theklae"
"BE4030","Oenanthe oenanthe"
"BE4030","Alectoris rufa"
"BE4030","Calandrella brachydactyla"
"BE4030","Emberiza calandra"
"BE4040","Galerida theklae"
"BE4040","Galerida cristata"
"BE4040","Cisticola juncidis"
"BE4040","Calandrella brachydactyla"
"BE4040","Coturnix coturnix"
"BE4040","Alectoris rufa"
"BE4040","Emberiza calandra"
"BE4040","Oenanthe hispanica"
"BE4040","Curruca conspicillata"
"BE4040","Circus pygargus"
"BE4050","Emberiza calandra"
"BE4050","Circus pygargus"
"BE4050","Galerida cristata"
"BE4050","Oenanthe hispanica"
"BE4050","Alectoris rufa"
"BE4050","Galerida theklae"
"BE4050","Coturnix coturnix"
"BE4060","Oenanthe oenanthe"
"BE4060","Anthus campestris"
"BE4060","Alauda arvensis"
"BE4060","Alectoris rufa"
"BE4060","Oenanthe hispanica"
"BE4060","Galerida cristata"
"BE4060","Calandrella brachydactyla"
"BE4060","Coturnix coturnix"
"BE4060","Emberiza calandra"
"BE4070","Coturnix coturnix"
"BE4070","Anthus campestris"
"BE4070","Oenanthe oenanthe"
"BE4070","Oenanthe hispanica"
"BE4070","Galerida cristata"
"BE4070","Galerida theklae"
"BE4070","Curruca conspicillata"
"BE4070","Calandrella brachydactyla"
"BE4070","Circus pygargus"
"BE4070","Alectoris rufa"
"BE4070","Emberiza calandra"
"BE4080","Galerida theklae"
"BE4080","Galerida cristata"
"BE4080","Oenanthe oenanthe"
"BE4080","Curruca conspicillata"
"BE4080","Coturnix coturnix"
"BE4080","Emberiza calandra"
"BE4080","Oenanthe hispanica"
"BE4080","Alauda arvensis"
"BE4080","Alectoris rufa"
"BE4080","Burhinus oedicnemus"
"BE4080","Anthus campestris"
"BE4080","Circus pygargus"
"BE4090","Alectoris rufa"
"BE4090","Galerida cristata"
"BE4090","Curruca conspicillata"
"BE4090","Anthus campestris"
"BE4090","Emberiza calandra"
"BE4090","Oenanthe hispanica"
"BE4090","Coturnix coturnix"
"BE4090","Galerida theklae"
"BE4090","Alauda arvensis"
"BE4090","Oenanthe oenanthe"
"BE5040","Emberiza calandra"
"BE5040","Alectoris rufa"
"BE5040","Circus pygargus"
"BE5040","Coturnix coturnix"
"BE5040","Cisticola juncidis"
"BE5040","Galerida cristata"
"BE5040","Oenanthe hispanica"
"BE5040","Curruca conspicillata"
"BE5040","Galerida theklae"
"BE5040","Alauda arvensis"
"BE5040","Glareola pratincola"
"BE5050","Galerida cristata"
"BE5050","Circus pygargus"
"BE5050","Oenanthe hispanica"
"BE5050","Galerida theklae"
"BE5050","Coturnix coturnix"
"BE5050","Alectoris rufa"
"BE5050","Cisticola juncidis"
"BE5050","Emberiza calandra"
"BE5060","Oenanthe oenanthe"
"BE5060","Galerida cristata"
"BE5060","Emberiza calandra"
"BE5060","Oenanthe hispanica"
"BE5060","Alectoris rufa"
"BE5060","Circus pygargus"
"BE5060","Alauda arvensis"
"BE5070","Calandrella brachydactyla"
"BE5070","Alectoris rufa"
"BE5070","Circus pygargus"
"BE5070","Curruca conspicillata"
"BE5070","Oenanthe hispanica"
"BE5070","Anthus campestris"
"BE5070","Emberiza calandra"
"BE5070","Galerida theklae"
"BE5070","Oenanthe oenanthe"
"BE5070","Galerida cristata"
"BE5070","Coturnix coturnix"
"BE5070","Alauda arvensis"
"BE5070","Cisticola juncidis"
"BE5080","Anthus campestris"
"BE5080","Emberiza calandra"
"BE5080","Circus pygargus"
"BE5080","Alauda arvensis"
"BE5080","Calandrella brachydactyla"
"BE5080","Galerida cristata"
"BE5080","Oenanthe oenanthe"
"BE5080","Alectoris rufa"
"BE5080","Coturnix coturnix"
"BE5080","Oenanthe hispanica"
"BE5080","Galerida theklae"
"BE5090","Galerida theklae"
"BE5090","Anthus campestris"
"BE5090","Alauda arvensis"
"BE5090","Emberiza calandra"
"BE5090","Oenanthe oenanthe"
"BE5090","Galerida cristata"
"BE5090","Alectoris rufa"
"BE5090","Curruca conspicillata"
"BE5090","Coturnix coturnix"
"BE5090","Oenanthe hispanica"
"BE6050","Glareola pratincola"
"BE6050","Oenanthe hispanica"
"BE6050","Cisticola juncidis"
"BE6050","Emberiza calandra"
"BE6050","Galerida cristata"
"BE6050","Circus pygargus"
"BE6050","Calandrella brachydactyla"
"BE6050","Coturnix coturnix"
"BE6050","Oenanthe oenanthe"
"BE6050","Curruca conspicillata"
"BE6050","Alectoris rufa"
"BE6060","Galerida cristata"
"BE6060","Circus pygargus"
"BE6060","Oenanthe hispanica"
"BE6060","Galerida theklae"
"BE6060","Oenanthe oenanthe"
"BE6060","Alectoris rufa"
"BE6060","Emberiza calandra"
"BE6060","Curruca conspicillata"
"BE6070","Oenanthe oenanthe"
"BE6070","Oenanthe hispanica"
"BE6070","Emberiza calandra"
"BE6070","Galerida cristata"
"BE6070","Galerida theklae"
"BE6070","Alectoris rufa"
"BE6080","Oenanthe hispanica"
"BE6080","Alauda arvensis"
"BE6080","Oenanthe oenanthe"
"BE6080","Cisticola juncidis"
