Scientific name,English name,European population status (BiE4) (* = marginal species with small populations but not decreasing),SPEC category (BiE4),2021 European Red List category and criteria,2022 Global IUCN Red List category,European breeding population size,European breeding population unit,European breeding population trend
Coturnix coturnix,Common Quail,NT,SPEC 3,NT A2bcde+3bcde+4bcde,LC,"2,500,000–4,520,000",Calling males,Decreasing
Tetraogallus caucasicus,Caucasian Snowcock,Rare,SPEC 2,LC,LC,"5,000–16,200",Pairs,Stable
Tetraogallus caspius,Caspian Snowcock,Rare,SPEC 2,LC,LC,"4,200–10,400",Pairs,Decreasing
Alectoris graeca,Rock Partridge,NT,SPEC 1,NT A2bcd+3bcd+4bcd,NT,"37,600–61,400",Pairs,Unknown
Alectoris chukar,Chukar,SecureF,Non-SPEC,LC,LC,"678,000–1,950,000",Pairs,Unknown
Alectoris barbara,Barbary Partridge,SecureF,Non-SPEC,LC,LC,"7,700–20,500",Pairs,Unknown
Alectoris rufa,Red-legged Partridge,NT,SPEC 1,NT A2bcde+3bcde+4bcde,NT,"4,970,000–6,850,000",Pairs,Decreasing
Ammoperdix griseogularis,See-see Partridge,VU,SPEC 3,VU C2a(ii),LC,"3,900–6,800",Pairs,Decreasing
Francolinus francolinus,Black Francolin,SecureF,Non-SPEC,LC,LC,"10,700–18,900",Pairs,Fluctuating
Phasianus colchicus,Common Pheasant,Secure,Non-SPEC,LC,LC,"4,800–8,200",Pairs,Stable
Perdix perdix,Grey Partridge,Declining,SPEC 2,LC,LC,"1,140,000–1,880,000",Pairs,Decreasing
Bonasa bonasia,Hazel Grouse,Depleted,SPEC 3,LC,LC,"2,000,000–3,480,000",Pairs,Unknown
Lagopus lagopus,Willow Grouse,Depleted,SPEC 3,LC,LC,"1,280,000–2,030,000",Pairs,Stable
Lagopus muta,Rock Ptarmigan,SecureF,Non-SPEC,LC,LC,"309,000–846,000",Pairs,Fluctuating
Tetrao urogallus,Western Capercaillie,Declining,SPEC 3,LC,LC,"798,000–1,710,000",Calling males,Decreasing
Lyrurus tetrix,Black Grouse,Depleted,SPEC 3,LC,LC,"1,210,000–1,880,000",Calling males,Unknown
Lyrurus mlokosiewiczi,Caucasian Grouse,NT,SPEC 1,NT A3cde,NT,"14,100–28,800",Calling males,Unknown
Oxyura leucocephala,White-headed Duck,VU,SPEC 1,VU C1+2a(i),EN,500–760,Pairs,Decreasing
Cygnus olor,Mute Swan,Secure,Non-SPECe,LC,LC,"84,600–118,000",Pairs,Stable
