Species,RLS 2004,EPS 2004,SPEC 2004,RLS 2021,SCPTS 2023,SCPTS 2023 value
Alauda arvensis,NE,DEP,3,VU,No,0
Alaudala rufescens,NT,DEC,3,NT,LESRPE,1
Alectoris rufa,DD,DEC,2,VU,No,0
Anthus campestris,NE,DEC,3,LC,LESRPE,1
Asio flammeus,NT,DEP,3,LC,LESRPE,1
Burhinus oedicnemus,NT,V,3,NT,LESRPE,1
Calandrella brachydactyla,VU,DEC,3,LC,LESRPE,1
Chersophilus duponti,EN,DEP,3,EN,DEX,3
Circus cyaneus,NE,DEP,3,EN,LESRPE,1
Circus pygargus,VU,S,4,VU,VU,2
Cisticola juncidis,NE,S,0,NT,LESRPE,1
Coturnix coturnix,DD,DEP,3,EN,No,0
Curruca conspicillata,LC,S,0,LC,LESRPE,1
Cursorius cursor,EN,EN,3,EN,LESRPE,1
Emberiza calandra,NE,DEC,2,LC,No,0
Falco naumanni,VU,DEP,1,VU,LESRPE,1
Galerida cristata,NE,DEP,3,LC,LESRPE,1
Galerida theklae,NE,DEP,3,LC,LESRPE,1
Glareola pratincola,VU,DEC,3,VU,LESRPE,1
Melanocorypha calandra,NE,DEC,3,NT,LESRPE,1
Oenanthe hispanica,NT,DEP,2,NT,LESRPE,1
Oenanthe oenanthe,NE,DEC,3,NT,LESRPE,1
Otis tarda,VU,V,1,NT,LESRPE,1
Pterocles alchata,VU,DEC,3,VU,VU,2
Pterocles orientalis,VU,DEC,3,EN,VU,2
Tetrax tetrax,VU,V,1,EN,DEX,3
